spoken,Storage,EdgeTX 2.9,OpenTX 2.3,OpenTx 2.2,OpenTX 2.1,included at v,notes
Battery at 70 percent,\bat70.wav,\bat70.wav,\bat70.wav,\bat70.wav,\bat70.wav,3,Also used by Yaapu Script
Battery at 80 percent,\bat80.wav,\bat80.wav,\bat80.wav,\bat80.wav,\bat80.wav,3,Also used by Yaapu Script
Battery at 90 percent,\bat90.wav,\bat90.wav,\bat90.wav,\bat90.wav,\bat90.wav,3,Also used by Yaapu Script
Battery Capacity,\batcap.wav,\batcap.wav,\batcap.wav,\batcap.wav,\batcap.wav,1.1,
Battery Critical,\batcri.wav,\batcri.wav,\batcri.wav,\batcri.wav,\batcri.wav,1.2,Also used by INav script
Battery level 1 alert,\batlt1.wav,\batlt1.wav,\batlt1.wav,\batlt1.wav,\batlt1.wav,3,Also used by Yaapu Script
Battery level 2 alert,\batlt2.wav,\batlt2.wav,\batlt2.wav,\batlt2.wav,\batlt2.wav,3,Also used by Yaapu Script
Beast,\beast.wav,\beast.wav,\beast.wav,\beast.wav,\beast.wav,1,
Bee Quadcopter,\bee.wav,\bee.wav,\bee.wav,\bee.wav,\bee.wav,1,
Beginner,\begnr.wav,\begnr.wav,\begnr.wav,\begnr.wav,\begnr.wav,1.3,
Better luck next time!,\bttrlk.wav,\bttrlk.wav,\bttrlk.wav,\bttrlk.wav,\bttrlk.wav,1.2,
Blackbox Active,\blkact.wav,\blkact.wav,\blkact.wav,\blkact.wav,\blkact.wav,3,
Blackbox Erase,\blkers.wav,\blkers.wav,\blkers.wav,\blkers.wav,\blkers.wav,3,
black-box erase,\bbwipe.wav,\bbwipe.wav,\bbwipe.wav,\bbwipe.wav,\bbwipe.wav,1.4,
BlackBox Off,\blkbof.wav,\blkbof.wav,\blkbof.wav,\blkbof.wav,\blkbof.wav,1.3,
BlackBox On,\blkbon.wav,\blkbon.wav,\blkbon.wav,\blkbon.wav,\blkbon.wav,1.3,
Blade MCX,\mcx.wav,\mcx.wav,\mcx.wav,\mcx.wav,\mcx.wav,1,
Blue Angels A4,\baa4.wav,\baa4.wav,\baa4.wav,\baa4.wav,\baa4.wav,1,
Brake flight mode,\brkfm.wav,\brkfm.wav,\brkfm.wav,\brkfm.wav,\brkfm.wav,3,Also used by Yaapu Script
brakes disengaged,\brkdis.wav,\brkdis.wav,\brkdis.wav,\brkdis.wav,\brkdis.wav,1.2,
Brakes engaged,\brkeng.wav,\brkeng.wav,\brkeng.wav,\brkeng.wav,\brkeng.wav,1.2,
brakes off,\brkoff.wav,\brakof.wav,\brkoff.wav,\brkoff.wav,\brkoff.wav,1.2,
brakes on,\brkon.wav,\brakon.wav,\brkon.wav,\brkon.wav,\brkon.wav,1.2,
brakes released,\brkrel.wav,\brkrel.wav,\brkrel.wav,\brkrel.wav,\brkrel.wav,1.2,
Butterfly Off,\btfoff.wav,\btfoff.wav,\btfoff.wav,\btfoff.wav,\btfoff.wav,3,
Butterfly On,\btfon.wav,\btfon.wav,\btfon.wav,\btfon.wav,\btfon.wav,3,
Buzzer Active,\buzact.wav,\buzact.wav,\buzact.wav,\buzact.wav,\buzact.wav,3,
Buzzer Off,\buzoff.wav,\buzoff.wav,\buzoff.wav,\buzoff.wav,\buzoff.wav,1.3,
