Spoken,storage,Scripts location
Motors armed,\mtrarm.wav,\SCRIPTS\YAAPU\armed.wav
Motors disarmed,\mtrdis.wav,\SCRIPTS\YAAPU\disarmed.wav
No gps,\nogps.wav,\SCRIPTS\YAAPU\gpsnofix.wav
no terrain data,\terrko.wav,\SCRIPTS\YAAPU\terrainko.wav
normal,\nrm.wav,\SCRIPTS\INAV\normal.wav
Off,\off.wav,\SCRIPTS\INAV\off.wav
Offboard mode,\offbrd.wav,\SCRIPTS\YAAPU\offboard.wav
On,\on.wav,\SCRIPTS\INAV\on.wav
P,\p.wav,\SCRIPTS\BETAFLIGHT\p.wav
Parachute: Released,\pararl.wav,\SCRIPTS\YAAPU\2664106240.wav
Passed waypoint:,\psdway.wav,\SCRIPTS\YAAPU\1997782032.wav
Position control mode,\posctl.wav,\SCRIPTS\YAAPU\posctl.wav
Position Hold,\poshld.wav,\SCRIPTS\INAV\poshld.wav
Position hold flight mode,\phfm.wav,\SCRIPTS\YAAPU\poshold.wav
PreArming: Need 3D Fix,\pr3d.wav,\SCRIPTS\YAAPU\264977348.wav
Precision landing mode,\prland.wav,\SCRIPTS\YAAPU\precland.wav
Q acro flight mode,\qacro.wav,\SCRIPTS\YAAPU\qacro.wav
Q autotune flight mode,\qatnfm.wav,\SCRIPTS\YAAPU\qautotune.wav
Q hover flight mode,\qhvrmd.wav,\SCRIPTS\YAAPU\qhover.wav
Q land flight mode,\qland.wav,\SCRIPTS\YAAPU\qland.wav
Q loiter flight mode,\qloitr.wav,\SCRIPTS\YAAPU\qloiter.wav
Q return to home flight mode,\qrtl.wav,\SCRIPTS\YAAPU\qrtl.wav
Q stabilise flight mode,\qstab.wav,\SCRIPTS\YAAPU\qstabilize.wav
rate attitude mode,\rattmd.wav,\SCRIPTS\YAAPU\rattitude.wav
reached command:,\rchcmd.wav,\SCRIPTS\YAAPU\4091124880.wav
reached waypoint:,\rchway.wav,\SCRIPTS\YAAPU\3311875476.wav
ready,\ready.wav,\SCRIPTS\YAAPU\ready.wav
Ready to Fly,\rtf.wav,\SCRIPTS\INAV\ready.wav
Return to home,\rth.wav,\SCRIPTS\YAAPU\rtl.wav
Return to home mode,\rthmd.wav,\SCRIPTS\YAAPU\rtl_r.wav
Return to Launch,\rtl.wav,\SCRIPTS\INAV\rtl.wav
simple mode,\smplmd.wav,\SCRIPTS\YAAPU\simple.wav
simple mode,\smplmd.wav,\SCRIPTS\YAAPU\simple_r.wav
simple mode disabled,\smplds.wav,\SCRIPTS\YAAPU\simpleoff.wav
simple mode enabled,\smplen.wav,\SCRIPTS\YAAPU\simpleon.wav
Smart return to home flight mode,\srthfm.wav,\SCRIPTS\YAAPU\smartrtl.wav
Smart return to home mode,\srthm.wav,\SCRIPTS\YAAPU\smartrtl_r.wav
Smart RTL deactivated,\srtlof.wav,\SCRIPTS\YAAPU\3025044912.wav
Smart RTL Unavailable,\srtlun.wav,\SCRIPTS\YAAPU\1834616480.wav
Soaring: Disabled.,\soards.wav,\SCRIPTS\YAAPU\4175833240.wav
Soaring: Drifted too far,\soardr.wav,\SCRIPTS\YAAPU\2913564252.wav
Soaring: drifted too far,\soardr.wav,\SCRIPTS\YAAPU\636067590.wav
Soaring: Enabled.,\soaren.wav,\SCRIPTS\YAAPU\883458048.wav
Soaring: Exit via RC switch,\soarex.wav,\SCRIPTS\YAAPU\1746499976.wav
Soaring: not climbing,\soarnc.wav,\SCRIPTS\YAAPU\2599859119.wav
Soaring: Outside max radius,\soarmr.wav,\SCRIPTS\YAAPU\1883944664.wav
Soaring: reached lower altitude,\soarlo.wav,\SCRIPTS\YAAPU\4026147344.wav
Soaring: reached upper altitude,\soarhi.wav,\SCRIPTS\YAAPU\1352994600.wav
Soaring: Thermal ended,\soarte.wav,\SCRIPTS\YAAPU\981284144.wav
Soaring: thermal weak,\soartw.wav,\SCRIPTS\YAAPU\2139150204.wav
Soaring: Too high,\soarth.wav,\SCRIPTS\YAAPU\2730864352.wav
Soaring: Too low,\soartl.wav,\SCRIPTS\YAAPU\1698465616.wav
Sport flight mode,\sprtfm.wav,\SCRIPTS\YAAPU\sport.wav
Stabilise flight mode,\stabfm.wav,\SCRIPTS\YAAPU\stabilize.wav
Steering mode,\strmd.wav,\SCRIPTS\YAAPU\steering_r.wav
super simple mode disabled,\ssmdds.wav,\SCRIPTS\YAAPU\ssimpleoff.wav
super simple mode enabled,\ssmden.wav,\SCRIPTS\YAAPU\ssimpleon.wav
System I D flight mode,\sidfm.wav,\SCRIPTS\YAAPU\systemid.wav
Takeoff complete,\tkofcp.wav,\SCRIPTS\YAAPU\554623408.wav
takeoff flight mode,\tkoffm.wav,\SCRIPTS\YAAPU\takeofffm.wav
Thermal flight mode,\thrmfm.wav,\SCRIPTS\YAAPU\thermal.wav
Throw flight mode,\throw.wav,\SCRIPTS\YAAPU\throw.wav
Timer alert,\tmrlrt.wav,\SCRIPTS\YAAPU\timealert.wav
too high,\tohigh.wav,\SCRIPTS\INAV\toohgh.wav
Training flight mode,\trnfm.wav,\SCRIPTS\YAAPU\training.wav
Transition done,\trdon.wav,\SCRIPTS\YAAPU\4019153925.wav
Transition done,\trdon.wav,\SCRIPTS\YAAPU\986165592.wav
Transition started,\trst.wav,\SCRIPTS\YAAPU\1249672288.wav
Transition VTOL done,\trvtdn.wav,\SCRIPTS\YAAPU\3417557720.wav
turtle mode,\trtmd.wav,\SCRIPTS\YAAPU\turtle.wav
velocity flight mode,\velfm.wav,\SCRIPTS\YAAPU\velocity.wav
warning,\warn.wav,\SCRIPTS\INAV\warnng.wav
waypoint,\wypnt.wav,\SCRIPTS\INAV\waypt.wav
Yaa-pu telemetry ready,\yaapu.wav,\SCRIPTS\YAAPU\yaapu.wav
Zigzag flight mode,\zigzag.wav,\SCRIPTS\YAAPU\zigzag.wav
Attitude Hold Mode,\ahdmd.wav,\sxrahd.wav
Stabalizer Mode,\stabmd.wav,\sxrsmd.wav
Stabalizer Off,\stabof.wav,\sxrsof.wav
Stabalizer On,\stabon.wav,\sxrstb.wav
Wind Rejection Mode,\wndrej.wav,\sxrwr.wav
